AFF_LOVE_POINT	Love points: %d%%
ALCHEMY_BRILLIANT	Brilliant
ALCHEMY_CLEAR	Clean
ALCHEMY_EXCELLENT	Excellent
ALCHEMY_FLAWLESS	Flawless
ALCHEMY_MTSY	Mystic
ALIGNMENT_NAME	Rank points:
ALL_CHANNEL	All ch	
ALL_KINGDOMS	|cFF97AE99All kingdoms:|h|r	
APRIL	April	
ATTR_6TH_7TH_ADD_QUESTION1	You cannot use this item while a bonus is being added.
ATTR_6TH_7TH_ADD_QUESTION2	Do you really want to add the bonus?
ATTR_6TH_7TH_DESC1	a. You must add the materials required for the item to add a 6th and 7th bonus.
ATTR_6TH_7TH_DESC2	b. Each powershard increases the success rate by 2%.
ATTR_6TH_7TH_DESC3	c. Use an additive to increase the success rate even further.
ATTR_6TH_7TH_DESC4	d. It takes 24 hours to add a bonus. During this time, the NPC will keep the item onto which the bonus should be added. As soon as the process is complete, you can collect it again.
ATTR_6TH_7TH_POSSIBILITY	You can add an additional bonus.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Success rate: %.1f%%
AUGUST	August	
AUTOSKILL_0_1	Train your body strength	
AUTOSKILL_0_2	Train your body resistance	
AUTOSKILL_1_1	Sharpe your dagas to kill	
AUTOSKILL_1_2	Use your bow to fight	
AUTOSKILL_2_1	Love your weapons	
AUTOSKILL_2_2	Play with black magic	
AUTOSKILL_3_1	Use strength to help	
AUTOSKILL_3_2	Use the light to cure	
BANK_ADD_TITLE	Bank: Enter Yang	
BANK_APPEND_LOG_ADD	Joined	
BANK_APPEND_LOG_CHANGE_PW	Change pin	
BANK_APPEND_LOG_RECEIVED	Received	
BANK_APPEND_LOG_SEND	Send	
BANK_APPEND_LOG_WITHDRAW	Retired	
BANK_CHANGEPW_TITLE	Change Password	
BANK_CHOOSE_BOARD_TITLE	Bank account	
BANK_CHOOSE_CREATE	Create Account	
BANK_CHOOSE_LOGIN	Login	
BANK_CONECTING_DIALOG	Page: [%s - %d]	
BANK_CREATE_TITLE	Create a bank account	
BANK_CURRENT_PAGE		
BANK_LINE_ACCOUNT	Bill	
BANK_LINE_AMOUNT	Amount	
BANK_LINE_PASSWORD	Password:	
BANK_LINE_REPASSWORD	Repeat password:	
BANK_LOGIN_TITLE	Connecting the bank account	
BANK_SEND_TITLE	Send money to a character	
BANK_TITLE_LOGS_ACTION	#Action	
BANK_TITLE_LOGS_AMOUNT	#Amount	
BANK_TITLE_LOGS_DATE	#Date	
BANK_TITLE_LOGS_HOUR	#Time	
BANK_TITLE_LOGS_IP	#Ip	
BANK_TITLE_LOGS_TARGET	#De || #For	
BANK_TITLE_NAME	Bank System - [i] Ultimos 1025 records	
