VNUM	LOCALE_NAME
1	Yang
2	English Version
10	Meè+0
11	Meè+1
12	Meè+2
13	Meè+3
14	Meè+4
15	Meè+5
16	Meè+6
17	Meè+7
18	Meè+8
19	Meè+9
20	Dlouhı meè+0
21	Dlouhı meè+1
22	Dlouhı meè+2
23	Dlouhı meè+3
24	Dlouhı meè+4
25	Dlouhı meè+5
26	Dlouhı meè+6
27	Dlouhı meè+7
28	Dlouhı meè+8
29	Dlouhı meè+9
30	Srpovitı meè+0
31	Srpovitı meè+1
32	Srpovitı meè+2
33	Srpovitı meè+3
34	Srpovitı meè+4
35	Srpovitı meè+5
36	Srpovitı meè+6
37	Srpovitı meè+7
38	Srpovitı meè+8
39	Srpovitı meè+9
40	Bambusovı meè+0
41	Bambusovı meè+1
42	Bambusovı meè+2
43	Bambusovı meè+3
44	Bambusovı meè+4
45	Bambusovı meè+5
46	Bambusovı meè+6
47	Bambusovı meè+7
48	Bambusovı meè+8
49	Bambusovı meè+9
50	Širokı meè+0
51	Širokı meè+1
52	Širokı meè+2
53	Širokı meè+3
54	Širokı meè+4
55	Širokı meè+5
56	Širokı meè+6
57	Širokı meè+7
58	Širokı meè+8
59	Širokı meè+9
60	Støíbrnı meè+0
61	Støíbrnı meè+1
62	Støíbrnı meè+2
63	Støíbrnı meè+3
64	Støíbrnı meè+4
65	Støíbrnı meè+5
66	Støíbrnı meè+6
67	Støíbrnı meè+7
68	Støíbrnı meè+8
69	Støíbrnı meè+9
70	Orchideomeè+0
71	Orchideomeè+1
72	Orchideomeè+2
73	Orchideomeè+3
74	Orchideomeè+4
75	Orchideomeè+5
76	Orchideomeè+6
77	Orchideomeè+7
78	Orchideomeè+8
79	Orchideomeè+9
80	Jedenapùlruèní meè+0
81	Jedenapùlruèní meè+1
82	Jedenapùlruèní meè+2
83	Jedenapùlruèní meè+3
84	Jedenapùlruèní meè+4
85	Jedenapùlruèní meè+5
86	Jedenapùlruèní meè+6
87	Jedenapùlruèní meè+7
88	Jedenapùlruèní meè+8
89	Jedenapùlruèní meè+9
90	Barbarskı meè+0
91	Barbarskı meè+1
92	Barbarskı meè+2
93	Barbarskı meè+3
94	Barbarskı meè+4
95	Barbarskı meè+5
96	Barbarskı meè+6
97	Barbarskı meè+7
98	Barbarskı meè+8
99	Barbarskı meè+9
100	Krvavı meè+0
101	Krvavı meè+1
102	Krvavı meè+2
103	Krvavı meè+3
104	Krvavı meè+4
105	Krvavı meè+5
106	Krvavı meè+6
107	Krvavı meè+7
108	Krvavı meè+8
109	Krvavı meè+9
110	Velkı meè+0
111	Velkı meè+1
112	Velkı meè+2
113	Velkı meè+3
114	Velkı meè+4
115	Velkı meè+5
116	Velkı meè+6
117	Velkı meè+7
118	Velkı meè+8
119	Velkı meè+9
120	Meè kouzelníka+0
121	Meè kouzelníka+1
122	Meè kouzelníka+2
123	Meè kouzelníka+3
124	Meè kouzelníka+4
125	Meè kouzelníka+5
126	Meè kouzelníka+6
127	Meè kouzelníka+7
128	Meè kouzelníka+8
129	Meè kouzelníka+9
130	Pùlmìsíèní meè+0
131	Pùlmìsíèní meè+1
132	Pùlmìsíèní meè+2
133	Pùlmìsíèní meè+3
134	Pùlmìsíèní meè+4
135	Pùlmìsíèní meè+5
136	Pùlmìsíèní meè+6
137	Pùlmìsíèní meè+7
138	Pùlmìsíèní meè+8
139	Pùlmìsíèní meè+9
140	Bitevní meè+0
141	Bitevní meè+1
142	Bitevní meè+2
143	Bitevní meè+3
144	Bitevní meè+4
145	Bitevní meè+5
146	Bitevní meè+6
147	Bitevní meè+7
148	Bitevní meè+8
149	Bitevní meè+9
150	Ozubená èepel ducha+0
151	Ozubená èepel ducha+1
152	Ozubená èepel ducha+2
153	Ozubená èepel ducha+3
154	Ozubená èepel ducha+4
