AFF_LOVE_POINT	Body za lásku: %d%%
ALCHEMY_BRILLIANT	Brilantní
ALCHEMY_CLEAR	Èistı
ALCHEMY_EXCELLENT	Excelentní
ALCHEMY_FLAWLESS	Bezchybnı
ALCHEMY_MTSY	Mystickı
ALIGNMENT_NAME	Hodnost:
ALL_CHANNEL	Všechny ch	
ALL_KINGDOMS	|cFF97AE99All Øíše:|h|r	
APRIL	DUBEN	
ATTR_6TH_7TH_ADD_QUESTION1	Tento pøedmìt nelze pouít pøi pøidávání bonusu
ATTR_6TH_7TH_ADD_QUESTION2	Opravdu chceš pøidat bonus?
ATTR_6TH_7TH_DESC1	a. Musíš dodat materiály, potøebné pro pøidání 6. a 7. bonusu na pøedmìt.
ATTR_6TH_7TH_DESC2	b. Kadı Støep síly zvyšuje šanci na úspìch o 2 %.
ATTR_6TH_7TH_DESC3	c. Pouij pøísadu pro další vylepšení šance na úspìch.
ATTR_6TH_7TH_DESC4	d. Pøidání bonusu trvá 24 hodin. Bìhem této doby bude pøedmìt, na kterı se pøidává bonus, v drení NPC. Jakmile bude proces dokonèen, mùeš si jej vyzvednout.
ATTR_6TH_7TH_POSSIBILITY	Mùeš pøidat další bonus.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Šance na úspìch: %.1f%%
AUGUST	Srpen	
AUTOSKILL_0_1	Trénujte sílu svého tìla
AUTOSKILL_0_2	Trénujte sílu svého tìla
AUTOSKILL_1_1	Trénujte sílu svého tìla
AUTOSKILL_1_2	Trénujte sílu svého tìla
AUTOSKILL_2_1	Trénujte sílu svého tìla	
AUTOSKILL_2_2	Trénujte sílu svého tìla	
AUTOSKILL_3_1	Trénujte sílu svého tìla	
AUTOSKILL_3_2	Trénujte sílu svého tìla	
BANK_ADD_TITLE	Banka: Vstupte do systému Yang	
BANK_APPEND_LOG_ADD	Pøipojil se	
BANK_APPEND_LOG_CHANGE_PW	Zmìna pinu	
BANK_APPEND_LOG_RECEIVED	Pøijato	
BANK_APPEND_LOG_SEND	Odeslání	
BANK_APPEND_LOG_WITHDRAW	Ukonèeno	
BANK_CHANGEPW_TITLE	Zmìna hesla	
BANK_CHOOSE_BOARD_TITLE	Bankovní úèet	
BANK_CHOOSE_CREATE	Vytvoøit úèet	
BANK_CHOOSE_LOGIN	Pøihlášení k úètu	
BANK_CONECTING_DIALOG	Stránka: [%s - %d]	
BANK_CREATE_TITLE	Vytvoøení bankovního úètu	
BANK_CURRENT_PAGE	OK
BANK_LINE_ACCOUNT	Úèet	
BANK_LINE_AMOUNT	Èástka	
BANK_LINE_PASSWORD	Heslo:	
BANK_LINE_REPASSWORD	Opakujte heslo:	
BANK_LOGIN_TITLE	Pøipojení bankovního úètu	
BANK_SEND_TITLE	Odeslání penìz na znak	
BANK_TITLE_LOGS_ACTION	#Akce	
BANK_TITLE_LOGS_AMOUNT	#Èástka	
BANK_TITLE_LOGS_DATE	#Datum	
BANK_TITLE_LOGS_HOUR	#Èas	
BANK_TITLE_LOGS_IP	#Ip	
MUSIC_METIN2_DEFAULT_THEMA	Standardní hudba Metin2
BANK_TITLE_LOGS_TARGET	#CZ || #Za	
BANK_TITLE_NAME	Bankovní systém.
BANK_TOOLTIP_BTN_ADD	Bankovní systém.
BANK_TOOLTIP_BTN_CHANGE	Zmìna bankovního hesla	
BANK_TOOLTIP_BTN_SEND	Odeslat Yang hráèi	
BANK_TOOLTIP_BTN_WITHDRAW	Odstranit Yang	
BANK_TYPE_AMOUNT	Èástka:	
BANK_WITHDRAW_TITLE	Banka: Odstranit Yang	
BANK_WRONG_ID	Nesprávnı pøístupovı název	
BANK_WRONG_PW	Nesprávné heslo	
