YES	Sí
YES_1	Aceptar
CANCEL	Cancelar
CLOSE	Cerrar
NOTICE	Observar
PARTICIPATE	Participar
QUEST_NAME	%s
_N	%s
ENTER	Entrar
ENTER_DUNGEON	¿Quieres entrar a la mazmorra?
INDIVIDUAL	Entrar solo
PARTY	Entrar en grupo
NO_PARTY	¡No estás en un grupo!
ALONE	¿Quieres entrar solo?
GROUP	¿Queréis entrar en grupo?
NO_KEY	¡No tienes la llave para poder entrar!
NO_PARTY_MEMBER	¡Algún jugador no está disponible!
LOW_LEVEL	El jugador tiene el nivel bajo:
COOLDOWN	El jugador tiene que esperar:
NO_MEMBER_KEY	El siguiente jugador no tiene la llave:
BACK_DUNGEON	Volver a donde estaba...
CANT_BACK	Solo tenías 5 minutos para volver a entrar. ¡Ya no puedes!
NO_CH	La mazmorra no ha sido abierta en este CH
NO_CH2	Para poder entrar cambia al CH: %d
DUNGEON_REMOVE	Sala no disponible, puedes volver a entrar desde el inicio.
LEVEL_ERROR	¡Tu personaje no tiene el nivel necesario para entrar a esta mazmorra!
BACK_QUESTION	¿Quieres entrar donde estabas?
NO_MAP_LV	¡Tu nivel es demasiado bajo para estar en este mapa!. Serás enviado a la ciudad.
MINUTE	minutos..
1	No dispones de misiones para cambiar.
2	Haz click en la misión que deseas cambiar la bonificación.
3	Bonus recibido: %s
4	¡No puedes elegir el mismo bonus!
5	%s está asociado a tu personaje.
6	Agregar bonificación 6/7
7	Refinar Piedra de dragón
8	Mazmorra de la Baronesa
9	¡No puedes entrar! El nivel mínimo es 50 y el máximo 80
10	Tiempo restante
11	segundos
12	¿Quieres empezar?
13	Entrar en la sala
14	¿Tienes la cabeza reducida?
15	¡Vuelve cuando tengas el objeto!
16	Catacumbas del Diablo
17	Sala del Dragón
18	Derrota al Beran Setaou
19	Entrada al Inframundo
20	Despertar al Am-Heh
21	¡Has abierto un candado!
22	No has derrotado a todos los demonios. ¡Búscalos!
23	No has encontrado el engranaje. ¡Búscalo!
24	No has derrotado a Ignidor. ¡Mátalo!
25	Aun te faltan sellos por desbloquear. ¡Date prisa!
26	No has destruido el Metin del purgatorio. ¡Vuelve!
27	¡La pieza estaba rota!
28	La Estela de Isfet ha desaparecido.
29	El orden no es el correcto
30	Atalaya de Nemere
31	Empezar mazmorra
32	¿Quieres empezar la mazmorra?
33	El cubo ha desaparecido.
34	Torre de Demonios
12009	Con este certificado resetearás todas tus habilidades.
12010	Resetear mis habilidades
12011	¡Si! Estoy seguro.
12012	Tu nivel debe ser 30 o más para hacer eso.
12013	¿Seguro quieres resetear todas tus habilidades?
35	Pueblos
35_1	Shinsoo City 1
35_2	Shinsoo City 2
35_3	Jinno City 1
35_4	Jinno City 2
36	Valle de Orcos (Lv 30~50)
36_1	Zona Centro
36_2	Zona de Farm 1
36_3	Zona de Farm 2
36_4	Zona de Farm 3
37	Desierto Yongbi (Lv 30~50)
38	Monte Sohan (Lv 40~5)
39	Tierra de Fuego (Lv 40~65)
40	Cuevas de Arañas (Lv 45~70)
40_1	Arañas 1 Inicio
40_2	Arañas 1 Final
40_3	Arañas 2 Inicio
40_4	Arañas 2 Final
41	Regiones Forestales (Lv 65~75)
41_1	Bosque Encantado
41_2	Bosque Rojo
41_3	Zona de Farm 1 Bosque Rojo
41_4	Zona de Farm 2 Bosque Rojo
42	Gruta del Exilio (Lv 75~95)
42_0	Debes ser nivel 75 para entrar a este mapa.
42_1	Gruta 1 Inicio
42_2	Gruta 1 Final
42_3	Gruta 2 Inicio
42_4	Gruta 2 Final
43	Cabo de Dragón (Lv 90~105)
43_0	Debes ser nivel 90 para entrar a este mapa.
43_1	Cabo de Dragón
43_2	Bahía Jade
43_3	Montañas Estruendosas
43_4	Acantilado de Gautama
50	Defensa de la Nave
51	¡Defiende el mástil para que no lo destruyan!
52	La batalla comenzará pronto.
53	Crear un Gremio
53_0	Guardián de Gremios
53_1	¡Ya estás en un gremio!
53_2	No puedes crear otro hasta pasadas 24h
53_3	¿Quieres crear tu gremio?
53_4	Necesitas cumplir con los siguientes requisitos:
53_5	10.000.000 Yang y Nivel: 55 o más
53_6	Ingresa el nombre de tu futuro gremio:
