YES	Sim
YES_1	Aceitar
CANCEL	Cancelar
CLOSE	Fechar
NOTICE	Perceber
PARTICIPATE	Participar
QUEST_NAME	%s
_N	%s
ENTER	Entrar
ENTER_DUNGEON	Queres entrar na masmorra?
INDIVIDUAL	Entrar sozinho
PARTY	Entrar em grupo
NO_PARTY	Não estás numa banda!
ALONE	Queres ir lá sozinho?
GROUP	Querem entrar em grupo?
NO_KEY	Não tens a chave para entrar!
NO_PARTY_MEMBER	Algum jogador não está disponível!
LOW_LEVEL	O jogador tem o nível baixo:
COOLDOWN	O jogador tem que esperar:
NO_MEMBER_KEY	O próximo jogador não tem a chave:
BACK_DUNGEON	Voltar para onde eu estava...
CANT_BACK	Só tinha 5 minutos para voltar a entrar. Já não pode!
NO_CH	A masmorra não foi aberta neste CH
NO_CH2	Para poder entrar muda para o CH:
DUNGEON_REMOVE	Sala indisponível, pode voltar a entrar desde o início.
LEVEL_ERROR	A tua personagem não tem o nível necessário para entrar nesta masmorra!
BACK_QUESTION	Queres entrar onde estavas?
NO_MAP_LV	Seu nível é muito baixo para estar neste mapa!. Você será enviado à cidade.
MINUTE	atas...
1	Você não tem missões para mudar.
2	Clique na missão que deseja alterar o bônus.
3	Bonus recebido: %s
4	Não podes escolher o mesmo bónus!
5	%s está associado à tua personagem.
6	Adicionar bônus 6/7
7	Refinar pedra de dragão
8	Masmorra da Baronesa
9	Não pode entrar! O nível mínimo é 50 e o máximo 80
10	Tempo restante:
11	para entrar novamente.
12	Gostaria de começar?
13	Entrar na sala
14	Você tem Cabeça Encolhida?
15	Volta quando tiveres o objecto!
16	Catacumbas do Demónio
17	Sala do Dragão
18	Derrote o Beran Setaou
19	Entrada na Purgatório
20	Despertar al Am-Heh
21	Você abriu um cadeado!
22	Você não derrotou todos os demônios. Procure-os!
23	Você não encontrou a engrenagem. Encontre-o!
24	Você não derrotou Ignidor. Mate-o!
25	Ainda faltam selos para desbloquear. rápido!
26	Você não destruiu o Purgatório Metin. Volte!
27	A peça estava partida!
28	O Borrão de Isfet desapareceu.
29	A ordem não é a correta
30	Torre de Vigia de Nemere
31	Começar
32	Queres começar a masmorra?
33	O cubo se foi.
34	Torre do Demónio
12009	Com este certificado, vais reiniciar todas as tuas habilidades.
12010	Reiniciar as minhas habilidades
12011	¡Si! Estoy seguro.
12012	Seu nível deve ser 30 ou mais para fazer isso.
12013	De certeza que queres reiniciar as tuas habilidades?
35	Aldeias
35_1	Shinsoo City 1
35_2	Shinsoo City 2
35_3	Jinno City 1
35_4	Jinno City 2
36	Vale de Seungryong (Lv 30-50)
36_1	Zona Centro
36_2	Zona de Farm 1
36_3	Zona de Farm 2
36_4	Zona de Farm 3
37	Deserto Yongbi (Lv 30-50)
38	Montanha Sohan (Lv 40-65)
39	Terra do Fogo (Lv 40-65)
40	Cave das Aranhas (Lv 45-70)
40_1	Aranhas 1 início
40_2	Aranhas 1 Final
40_3	Aranhas 2 início
40_4	Aranhas 2 Final
41	Floresta Fantasma-Bosque Rubro (Lv 65-75)
41_1	Floresta Fantasma
41_2	Bosque Rubro
41_3	Zona de Farm 1 Bosque Rubro
41_4	Zona de Farm 2 Bosque Rubro
42	Gruta das Almas (Lv 75-95)
42_0	Deve ser nível 75 para entrar neste mapa.
42_1	Gruta 1 início
42_2	Gruta 1 Final
42_3	Gruta 2 início
42_4	Gruta 2 Final
43	Rocha do Dragão Negro (Lv 90-105)
43_0	Deve ser nível 90 para entrar neste mapa.
43_1	C. Fogo de Dragão	
43_2	Baía de Nephrite
43_3	Montanhas Trovão
43_4	Falésia de Gautama
50	Defesa do Navio
51	Defende o mastro: os monstros irão focar-se na vela principal para destruírem o navio
52	A batalha começará em breve.
53	Criar uma Guilda
53_0	Guardião de Guilda
53_1	Já estás numa Guilda!
53_2	Não pode criar outro até depois de 24h
53_3	Queres começar o teu Guilda?
53_4	Você precisa cumprir os seguintes requisitos:
53_5	10.000.000 Yang e Nível: 55 ou mais
53_6	Introduza o nome da sua futura associação:
53_7	Não tens yang suficiente!
53_8	Tens de ter um nível mínimo de 55!
53_9	Acaba de deixar uma Guilda...
53_10	O nome não pode conter caracteres especiais
53_11	y uma longitude entre 3 e 11 caracteres.
53_12	Tens a certeza que queres criar o guilda?
53_13	A quantidade de caracteres deve ser <2 ou >11!
53_14	O nome não deve conter caracteres especiais!
53_15	Já existe uma guilda com esse nome!
53_16	Feito! O grêmio foi criado com sucesso.
54	Deixar a Guilda
54_0	Tens a certeza que queres sair do guilda?
54_1	Pronto!
54_2	Você não fará mais parte desse guilda.
55	Eliminar a Guilda
55_0	Tens a certeza que queres acabar com o guilda?
55_1	O guilda foi eliminado com sucesso!
60	O que é uma faixa de ombro?
60_0	As faixa de ombro oferecem duas opções:
60_1	Combinação & Absorção.
