VNUM	LOCALE_NAME
10	Support Shaman
11	Support Shaman
101	Cão Selvagem
102	Lobo
103	Lobo Alfa
104	Lobo Azul
105	Lobo Alfa Azul
106	Lobo Cinza
107	Lobo Alfa Cinza
108	Javali Selvagem
109	Javali Selvagem Rubro
110	Urso
111	Urso Cinza
112	Urso Negro
113	Urso Castanho
114	Tigre
115	Tigre Branco
131	Lobo Maldito
132	Lobo Alfa Maldito
133	Lobo Azul Maldito
134	Lobo Alfa Azul Maldito
135	Lobo Cinzento Maldito
136	Lobo Alfa Cinza Maldito
137	Javali Maldito
138	Javali Rubro Maldito
139	Urso Maldito
140	Urso Cinza Maldito
141	Urso Negro Maldito
142	Urso Castanho Maldito
143	Tigre Maldito
144	Tigre Branco Maldito
151	Cung-Mok
152	Mu-Rang
153	Jug-Hyul
154	Young-Ji
155	Li-An
171	Cão Selvagem Feroz
172	Lobo Feroz
173	Lobo Alfa Feroz
174	Lobo Azul Feroz
175	Lobo Alfa Azul Feroz
176	Lobo Cinza Feroz
177	Lobo Alfa Cinza Feroz
178	Javali Selvagem Feroz
179	Javali Vermelho Feroz
180	Urso Feroz
181	Urso Cinza Feroz
182	Urso Negro Feroz
183	Urso Castanho Feroz
184	Tigre Feroz
185	Tigre Branco Feroz
191	Lykos
192	Scrofa
193	Bera
194	Tigris
301	Soldado Jura de Cristal
302	Arqueira Jura de Cristal
303	General Jura de Cristal
304	Capitã Jura de Cristal
331	Soldado Jura de Jade
332	Arqueira Jura de Jade
333	General Jura de Jade
334	Capitã Jura de Jade
351	Soldado Jura de Rubi
352	Arqueira Jura de Rubi
353	General Jura de Rubi
354	Capitã Jura de Rubi
391	Mi-Jung
392	Eun-Jung
393	Se-Rang
394	Jin-Hee
395	Mi-Jung Sem Alma
396	Eun-Jung Sem Alma
397	Se-Rang Sem Alma
398	Jin-Hee Sem Alma
401	Soldado Vento Negro
402	Maníaco Vento Negro
403	Arqueiro Vento Negro
404	Jak-To Vento Negro
405	To-Su Vento Negro
406	Gu-Ryung Vento Negro
431	Soldado Tempestade Negra
432	Maníaco Tempestade Negra
433	Arqueiro Trovão
434	Joh-Hwan Trovão
435	Kyuk-Jang Trovão
436	Pho-Hwan Trovão
451	Soldado Trovão Mau
452	Maníaco Trovão Mau
453	Arqueiro Trovão Mau
454	Joh-Hwan Trovão Mau
455	Kyuk-Jang Trovão Mau
456	Pho-Hwan Trovão Mau
491	Mahon
492	Bo
493	Goo-Pae
494	Chuong
501	Infantaria Selvagem
502	Sarrafeiro Selvagem
503	Arqueiro Selvagem
504	General Selvagem
531	Soldado Veneno
532	Maníaco Veneno
533	Arqueiro Veneno
534	Especialista Veneno
551	Infantaria Selvagem Mau
552	Sarrafeiro Selvagem Mau
553	Arqueiro Selvagem Mau
554	General Selvagem Mau
591	Capitão Veneno
595	Geum-Chul Veneno
601	Orc
602	Orc Explorador
603	Orc Lutador
604	Orc Mago
631	Orc Elite
632	Orc Explorador Elite
633	Orc Lutador Elite
634	Orc Mago Elite
635	Orc General Elite
636	Orc Preto
637	Orc Preto Gigante
651	Orc Mau Corajoso
652	Orc Explorador Corajoso
653	Orc Lutador Mau Corajoso
654	Orc Mago Mau Corajoso
655	Orc General Mau Corajoso
656	Orc Preto Corajoso
657	Orc Preto Mau Corajoso
691	Chefe Orc
692	Chefe Orc Elite
693	Chefe Orc Renascido
701	Fanático Negro
702	Arahan Negro
703	Lutador Arahan Esotérico
704	Chefe Arahan Esotérico
705	Executor Esotérico
706	Atormentador Negro
707	Conjurador Negro
731	Fanático Negro Elite
732	Arahan Negro Elite
733	Lutador Negro Elite
734	Coronel Negro Elite
735	Executor Negro Elite
736	Atormentador Negro Elite
737	Conjurador Negro Elite
751	Grande Fanático
752	Grande Arahan
753	Grande Lutador Arahan
754	Grande Arahan Elite
755	Grande Executor
756	Grande Atormentador
757	Grande Conjurador
766	Lesma
767	Babosa agressiva
768	Rainha das lesmas
771	Fanático Veneno
772	Arahan Veneno
773	Lutador Arahan Veneno
774	Chefe Arahan Veneno
775	Executor Veneno
776	Atormentador Veneno
777	Conjurador Veneno
791	Líder Negro
792	Lider Fantasma Negro
793	Líder Negro Elite
794	Líder Fantasma Negro Mau
795	Lutador Elite
796	Lutador Esotérico Elite
800	Urso raivoso
801	Dino amoroso
802	Senhor do desgosto
803	Fera quebra corações
804	Mutante amoroso
805	Harpia desprezada
899	Loja de cosméticos
900	Criador de cosméticos
901	Cadáver Fantasma
902	Cão Infestado
903	Homem Infestado
904	Espadachim Infestado
905	Lanceiro Infestado
906	Arqueiro Infestado
907	Líder Infestado
931	Cadáver Fantasma Bravo
932	Cão Infestado Bravo
933	Homem Infestado Bravo
934	Lutador Infestado Bravo
935	Lanceiro Infestado Bravo
936	Arqueiro Infestado Bravo
937	Líder Infestado Bravo
991	Ovo Infestado
992	Portador de Praga
993	Portador de Praga Grande
1001	Soldado Demónio
1002	Arqueiro Demónio
1003	Demónio Lanceiro
1004	Demónio Xamã
1031	Soldado Demónio Vil
1032	Arqueiro Demónio Vil
1033	Demónio Lanceiro Vil
1034	Demónio Xamã Vil
1035	Fantasma de Rancor
1036	Fantasma do Caos
1037	Líder Demónio Vil
1038	Caveira Mestre Espada
1039	Caveira Voadora
1040	Fantasma Imortal
1041	Besta Demoníaca
1061	Soldado Demónio Bruto
1062	Arqueiro Demónio Bruto
1063	Demónio Lanceiro Bruto
1064	Demónio Xamã Bruto
1065	Fantasma de Rancor Bruto
1066	Fantasma do Caos Bruto
1067	Líder Demónio Bruto
1068	Fantasma Mestre Espada
1069	Caveira Voadora Bruta
1070	Fantasma Imortal
1071	Besta Demoníaca
1091	Rei Demónio
1092	Rei Demónio Elite
1093	Fantasma da Morte
1094	Rei Demónio Vil Elite
1095	Morte Azul
1096	????
1101	Gelo Encantado
1102	Orca do Gelo
1103	Insecto do Gelo
1104	Leão do Gelo
1105	Homem do Gelo
1106	Yeti
1107	Golem do Gelo
1131	Gelo Encantado Negro
1132	Orca de Gelo Negra
1133	Insecto de Gelo Negro
1134	Leão de Gelo Negro
1135	Homem de Gelo Negro
1136	Yeti do submundo
1137	Golem de Gelo Negro
1151	Diabo de Gelo
1152	Orca Corno de Gelo
1153	Insecto do Gelo
1154	Seol-Gu
1155	Homem de Gelo
1156	Gigante do Gelo
1157	Golem do Gelo
1171	Gelo Encantado Mau
1172	Orca de Gelo Má
1173	Insecto de Gelo Mau
1174	Leão de Gelo Mau
1175	Homem de Gelo Mau
1176	Yeti Mau
1177	Golem de Gelo Mau
1191	Bruxa de Gelo
1192	Bruxa de Gelo Suprema
1301	Soldado Rã de Árvore
1302	Líder Rã de Árvore
1303	Bogeyman
1304	Tigre Fantasma
1305	General Rã-Touro
1306	Tigre Fantasma Elite
1307	Tigre Fantasma Elite
1308	Tigre Fantasma Elite
1309	Tigre Fantasma Elite
1310	Tigre Fantasma Elite
1331	Soldado Rana Arb. Grande
1332	Líder Rã-Árvore Grande
1333	Grande Bogeyman
1334	Tigre Fantasma Grande
1335	General Rã-Touro Má
1401	Destruidor
1402	Guerreiro de Machado
1403	Guerreiro Milenar
1501	Golem de Pedra
1502	Triturador de Pedra
1503	Golem de Pedra Gigante
1601	Guerreiro Ogre
1602	Ogre Carniceiro
1603	Ogre Furioso
1901	Nove Caudas
1902	Nueve Colas Élite
1903	Nove Caudas Elite
1904	Nove Caudas Elite
1905	Nove Caudas Elite
1906	Nove Caudas Elite
2001	Bebé Aranha
2002	Aranha
2003	Aranha Vermelha
2004	Aranha Rubi
2005	Aranha Soldado
2031	Bebé Aranha Venenosa
2032	Aranha Mortal
2033	Aranha Vermelha Venenosa
2034	Aranha Rubi Venenosa
2035	Aranha Coronel
2036	Aranha Coronel Elite
2051	Bebé Aranha Venenosa Má
2052	Aranha Mortal Má
2053	Aranha Vermelha Má
2054	Aranha Rubi Venenosa Má
2055	Aranha Coronel Má
2061	Aranha Pequena
2062	Aranha Assassina
2063	Aranha Vermelha Mortal
2064	Aranha Rubi Mortal
2065	Aranha General
2071	Bebé Aranha Besta Veneno
2072	Aranha Besta Mortal
2073	Aranha Besta Vermelha
2074	Aranha Rubi Besta Veneno
2075	Aranha Besta Coronel
2076	Aranha Besta Forte
2091	Rainha Aranha
2092	Aranha Baronesa
2093	Rainha Aranha Negra
2094	Aranha Barão
2095	Ovo de Aranha
2101	Raposa do Deserto
2102	Olho Voador do Deserto
2103	Rei Escorpião
2104	Homem Escorpião Jovem
2105	Arqueiro Escorpião
2106	Serpente Guerreiro
2107	Serpente Arqueiro
2108	Bandido do Deserto
2131	Homem Escorpião Veneno
2132	Arqueiro Escorpião Mau
2133	Serpente Guerreiro Má
2134	Serpente Arqueiro Má
2135	Bandido do Deserto Mau
2151	Raposa do Deserto Forte
2152	Dervixe Forte
2153	Rei Escorpião Forte
2154	Homem Escorpião Forte
2155	Arqueiro Escorpião Forte
2156	Serpente Guerreiro Forte
2157	Serpente Arqueiro Forte
2158	Bandido do Deserto Forte
2191	Tartaruga Gigante
2192	Tartaruga Gigante Negra
2201	Tigre de Fogo Mau
2202	Fantasma de Chamas
2203	Tigre de Fogo
2204	Chama
2205	Guerreiro Chama
2206	Rei Chama
2207	Rei Chama Obscuro
2231	Tigre de Fogo Mau Forte
2232	Fantasma de Chamas Forte
2233	Tigre de Fogo Forte
2234	Fantasma de Chamas Forte
2235	Guerreiro Chama Forte
2291	Dragão Vermelho
2301	Árvore Fantasma
2302	Tronco Fantasma
2303	Dríade
2304	Salgueiro Fantasma
2305	Árvore do Mal
2306	Árvore Fantasma Gigante
2307	Lorde Árvore Fantasma
2311	Árvore Fantasma Rubra
2312	Tronco Fantasma Rubro
2313	Dríade Rubra
2314	Salgueiro Fantasma Rubro
2315	Árvore do Mal Vermelha
2401	Lutador Setaou
2402	Caçador Setaou
2403	Mística Setaou
2404	Líder Setaou
2411	Soldado Setaou
2412	Arqueiro Setaou
2413	Magistrada Setaou
2414	Comandante Setaou
2415	Comandante Setaou
2431	????
2432	????
2433	ÃµÀÇ¹ý»ç
2434	????
2451	?????
2452	?????
2453	?????
2454	?????
2491	Capitão Yonghan
2492	General Yonghan
2493	Beran-Setaou
2494	Capitão Huashin
2495	General Huashin
2501	Cadáver Infernal
2502	Cão Infernal
2503	Zombie
2504	Oficial Infernal
2505	Guarda Infernal
2506	Atirador Infernal
2507	Garra Infernal
2508	Guerreiro Infernal
2509	Arqueiro Infernal
2510	Lanceiro Infernal
2511	Padre Infernal
2512	Major Infernal
2513	Carniceiro Infernal
2514	General Infernal
2541	Guerreiro Infernal Mau
2542	Arqueiro Infernal Mau
2543	Lanceiro Infernal Mau
2544	Padre Infernal Mau
2545	Major Infernal Mau
2546	Carniceiro Infernal Mau
2547	General Infernal Mau
2591	Tartaros
2592	Bastardo Infernal
2593	Bastardo Infernal
2594	Bastardo Infernal
2595	Erebos
2596	Lacaio de Azrael
2597	Charon
2598	Azrael
3001	Guerreiro Gnoll
3002	Arqueiro Gnoll
3003	Defensor Gnoll
3004	Mago Gnoll
3005	General Gnoll
3090	Lorde Gnoll
3091	Guarda Supremo Gnoll
3101	Rufia de 1 Olho
3102	Soldado Ciclope
3103	Mago Ciclope
3104	Executor Ciclope
3105	General Outis
3190	Arges
3191	Polyphemos
3201	Guerreiro Mantícora
3202	Soldado Mantícora
3203	Mago Mantícora
3204	Executor Mantícora
3205	General Cor
3290	Rakshasa
3291	Martyaxwar
3301	Guerreiro Lémure
3302	Soldado Lémure
3303	Mago Lémure
3304	Executor Lémure
3305	General Lémure
3390	Príncipe Lémure
3391	Guarda-Costas Lémure
3401	Moreia Tritão
3402	Soldado Tubarão
3403	Mago Tritão
3404	Caçador Tritão
3405	Aterrorizador Tritão
3490	General Kappa
3491	Tritão
3501	Ladrão Rubro Amazona
3502	Ladrão Rubro Assassino
3503	Ladrão Rubro Mago
3504	Ladrão Rubro Executor
3505	General Negro
3551	Ladrão Brutal Amazona
3552	Ladrão Brutal Assassino
3553	Ladrão Brutal Mago
3554	Ladrão Brutal Executor
3555	General Branco
3590	Cara de Ossos
3591	Chefe Rubro
3595	Cara de Ossos Mau
3596	Chefe Rubro Brutal
3601	Guerreiro Caranguejo
3602	Artilheiro Escorpião
3603	Soldado Camarão
3604	Eremita Diabólico
3605	Caranguejo de Armadura
3690	General Lagosta
3691	Rei Caranguejo
3701	Mordedor Gigante
3702	Matador Gigante
3703	Mago Gigante
3704	Doigante
3705	Capitão Ganchos
3790	Gárgula
3791	Rei Wubba
3801	Hangorc
3802	Ogre Archie
3803	Ogre Briguento
3804	Ogre Mago
3805	General Ogg
3890	Capitão Shruk
3891	O Grande Ogre
3901	Árvore-Homem
3902	Eoten
3903	Skouman
3904	Capitão Ganchos
3905	Mu-Shu
3906	Yah-Ki
3907	Moghu
3908	Carnifex
3909	General Albus
3910	Skeletos
3911	Aku-Boku
3912	Arboretum
3913	Sicómoro
4023	Portal do Templo
4024	Cabeça de cobra(Fogo)
4025	Cabeça de cobra(Gelo)
4026	Cabeça de cobra(Terra)
4027	Cabeça de cobra(Vento)
4028	Soldado rato forte
4029	Soldado xamã
4031	Duratus
4032	Mão assustadora
4033	Aranha pesadelo
4034	Zumbi Podre
4035	Escorpião Amaldiçoado
4036	Mau-olhado
4037	Devorador de almas
4038	Ogro dos Pesadelos
4039	Ciclope Amaldiçoado
4040	Alma Sofredora
4041	Quimera Impura
4042	Pesadelo Infame
4043	Sebastian, o Devorador de Sonhos
4062	Livro amaldiçoado
4063	Zumbi de ouro
4064	Golem de joias
4065	Baú de armadilha
4066	Guardião das moedas
4067	Esfinge dourada
4068	Monte vivo
4069	Medusa
4070	Smaug, o Desolador
4090	Larva do solo
4091	Golem de vidro
4092	Alma perdida
4093	Minotauro magico
4094	Chefe orc mágico
4095	Besta Magica
4104	Lutador de elefantes 
4105	Soldado Elefante
4106	Elefante Guardião
4107	Sacerdote de Ganesha
4108	Elifar
4109	Anttaac
4110	Ganesha
4111	Libélula do deserto
4112	Escaravelho do deserto
4113	Escaravelho envenenado
4114	Pequeno dragão de pedra
4115	Lizard scout
4116	Lizard fighter
4117	Lizard warrior
4118	Grande guerreiro de lagartos
4119	O guerreiro de Andur
4120	O xamã de Andur
4121	Andur's asassin
4122	Serpente do deserto 
4123	Cavalaria de serpente 
4124	Perseguidor de serpentes 
4125	Mágico serpente 
4126	Serpente guerreira 
4127	Golem de pedra do deserto
4128	Golem mítico
4129	Múmia não-morta
4130	Múmia morta-viva perigosa
4131	Guarda do Faraó
4132	O sacerdote do faraó
4133	Faraó
4134	Osiris
4135	Criatura de Anubis
4136	Criatura do deserto
4137	Brutal naga antiga
4138	Sombra de Anúbis
4140	Guardián de las Dunas
5001	Pirata Tanaka
5002	Hae-Tae
5003	Macaco
5004	Pirata Tanaka
5101	Soldado Macaco Fraco
5102	Lançador Macaco Fraco
5103	Lutador Macaco Fraco
5104	General Macaco Fraco
5111	Soldado Macaco
5112	Lançador Macaco
5113	Lutador Macaco
5114	General Macaco
5115	Macaco Pedra
5116	Líder Macaco
5121	Soldado Macaco Forte
5122	Lançador Macaco Forte
5123	Lutador Macaco Forte
5124	General Macaco Forte
5125	Macaco Pedra Forte
5126	Macaco Dourado Forte
5127	Líder Macaco Forte
5131	Pequeno Macaco General
5132	Pequeno Macaco Lançador
5133	Pequeno Macaco Lutador
5134	Pequeno Macaco General
5141	Macaco Soldado Esperto
5142	Macaco Lançador Esperto
5143	Macaco Lutador Esperto
5144	Macaco General Esperto
5145	Macaco Pedra Esperto
5146	Líder Macaco Esperto
5151	Macaco Soldado Mau Forte
5152	Macaco Lançador Mau For.
5153	Macaco Lutador Mau Forte
5154	Macaco General Mau Forte
5155	Macaco Pedra Mau Forte
5156	Macaco Dourado Mau Forte
5157	Macaco Líder Mau Forte
5161	Macaco Rocha
5162	Macaco Andante
5163	Lorde Macaco
5201	Cão Selvagem
5202	Javali Selvagem
5203	Javali Selvagem Rubro
5204	Urso
5205	Urso Castanho
5206	Urso Negro
5207	Urso Castanho Feroz
5208	Tigre
5209	Tigre Branco
6001	Fantasma de Brasas
6002	Tigre de Brasas
6003	Chama de Brasas
6004	Guerreiro de Brasas
6005	Rei de Brasas
6006	Troll de Brasas
6007	Barba de Brasas
6008	General de Brasas
6009	Chefe de Brasas
6051	Incendiário
6091	Razador
6101	Cristal da Geada
6102	Insecto da Geada
6103	Homem da Geada
6104	Yeti da Geada
6105	Golem da Geada
6106	Troll da Geada
6107	Barba da Geada
6108	General da Geada
6109	Lorde da Geada
6110	Yeti de Magma
6111	Golem de Magma
6112	Insecto de Magma
6113	Homem de Magma
6114	Cristal de Magma
6115	Wyvern de Magma
6116	Idall Guarda Dragão
6117	Lacaio de Idall
6118	Estátua de Dragão
6151	Szel
6191	Nemere
6192	Jotun Thrym
6193	Rainha Dragão Meley
6201	Yeti de Magma
6202	Golem de Magma
6203	Insecto de Magma
6204	Homem de Magma
6205	Cristal de Magma
6206	Wyvern de Magma
6207	Idall Guarda Dragão
6209	Estátua de Dragão
6220	Frost Magician
6221	Lord of the Ice
6222	Magma Yeti
6223	Lava Golem
6224	Magma Bug
6225	Magma Golem
6226	Burning Crystal
6227	Magma Dragonfly
6228	Flame Guardian
6229	Dragon Executioner
6230	Dragon Statue
6231	Meley Dragon Queen
6301	Guerreiro Ochao
6302	Soldado Ochao
6303	Mago Ochao
6304	Executor Ochao
6305	General Ochao
6306	Guerreiro Ochao Rijo
6307	Soldado Ochao Rijo
6308	Mago Ochao Rijo
6309	Executor Ochao Rijo
6310	General Ochao Rijo
6311	Escolta do Ochao
6390	Lorde Ochao
6391	Noble Ochao
6392	Guarda-Costas Ochao
6393	Lorde Ochao Rijo
6394	Guarda-Costas Ochao Rijo
6400	En-Tai Guardian
6401	Guerreiro En-Tai
6402	Soldado En-Tai
6403	Druida En-Tai
6404	Curandeiro En-Tai
6405	Guardião En-Tai
6406	Destruidor En-Tai
6407	Soberano En-Tai
6408	Bagjanamu
6409	Curandeiro Ochao
6410	Guerreiro En-Tai Rijo
6411	Soldado En-Tai Rijo
6412	Druida En-Tai Rijo
6413	Curandeiro En-Tai Rijo
6414	Destruidor En-Tai Rijo
6415	Beran-Setaou de Evento
6416	Nemere de Evento
6417	Razador de Evento
6418	Jotun Thrym de Evento
6419	Dragão Vermelho - Evento
6420	Guerreiro da Sombra
6421	Beeshido
6422	Metin de la agonía
6500	Rei Dragão Akzadur
6501	Rei Dragão Nafaroth
6502	Rei Dragão Exedyar
6503	Rei Dragão Ruilith
6504	Tyolduran
6513	Portal do dragão
6514	Ao rei dragão
6515	Saida
6601	Dragão Azul Infernal
6602	Azrael Infernal
6603	Infernal Duratus
6604	Rainha das Lesmas Infernais
6605	Nemere Inferno
6606	Razador Inferno
6607	Besta Mag do Inferno
6608	Jaldabaoth
6609	Jaldabaoth Infernal
6686	Jin Bing
6687	Soldado Ki
6688	Soldado Mao
6689	Soldado Gong
6690	Mago da linha de frente
6691	Kao
6692	Rey Bao (misión)
6693	Jin Bing
6694	Soldado Ki
6695	Soldado Mao
6696	Soldado Gong
6697	Mago da linha de frente
6698	Kao
6699	Rey Bao
6700	Cão de Caça do Inferno
6701	Soldado troll
6702	Guerreiro troll
6703	Atirador troll
6704	Xamã troll
6705	Natanan
6706	Argos
6707	Soldado troll
6708	Guerreiro troll
6709	Tiradora troll
6710	Espírito vexado
6711	Cão de Caça do Inferno
6712	Soldado troll
6713	Guerreiro troll
6714	Tiradora troll
6715	Xamã troll
6716	Natanan
6717	Argos
6718	Kovix myr
6719	Proletário myr
6720	Gólem myr
6721	Guerreiro myr
6722	Mágico myr
6723	Veterano myr
6724	Primus myr
6725	Kovix myr
6726	Proletário myr
6727	Gólem myr
6728	Guerrero myr
6729	Mágico myr
6730	Veterano myr
6731	Primus myr
6744	Soldado Kappa
6745	Peão Kappa
6746	Soldado Kappa
6747	Mago Kappa
6748	Caçador Kappa
6749	Grande kappa
6750	Serpente Escorpião
6751	Serpente Trabalhador
6752	Kappa Serpente
6753	Serpente Soldado
6754	Ascético da Serpente
6755	Serpente Guerr. Poderoso
6756	Rainha Serpente Nethis
6757	Pilar da Serpente
6758	Soldado Corrompido
6759	Escaramuçador Corrompido
6760	Guerreiro Corrompido
6761	Monge Corrompido
6762	General Corrompido
6763	Chefe Corrompido
6764	Chefe Guerra Corrompido
6765	Serpente Guerr. Poderoso
6770	Zorro congelado
6771	Espía congelado
6772	Guerrero congelado
6773	Cazador congelado
6774	General congelado
6775	Campeador congelado
6776	Adalid congelado
6777	Uapití poseído
6778	Irbis poseído
6779	Yeti de tramontana
6780	Espíritu de tramontana
6781	Gólem de tramontana
6782	Sasquatch
6783	Adalid de tramontana
6784	Soldado de la Caverna
6785	Pendenciero de la Caver.
6786	Guerrero de la Caverna
6787	Brujo de la Caverna
6788	General de la Caverna
6789	Adalid de la Caverna
6790	Alastor
6791	Alastor
6792	Soldado de la Caverna
6793	Pendenciero de la Caver.
6794	Guerrero de la Caverna
6795	Brujo de la Caverna
6796	General de la Caverna
6797	Adalid de la Caverna
6800	Guerrero gnoll
6801	Explorador gnoll
6802	Hechicero gnoll
6803	Mariscal gnoll
6804	Maestro gnoll
6805	Patriarca gnoll
6806	Soldado gnoll
6807	Espía gnoll
6808	Mariscal gnoll
6809	Comandante gnoll
6810	Guerrero ahtrin
6811	Explorador ahtrin
6812	Hechicero ahtrin
6813	Comandante ahtrin
6814	Patriarca ahtrin
6815	Patriarca ahtrin
6816	Espía ahtrin
6817	Brujo ahtrin
6818	Comandante ahtrin
6819	Maestro ahtrin
6820	Gran maestro ahtrin
6850	Escorpión serpentino
6851	Peón serpentino
6852	Kappa serpentino
6853	Soldado serpentino
6854	Carnicero serpentino
6855	Gran guerrero serpentino
6856	Reina serpentina Nethis
6860	Espadachín Jin
6861	Lancero Ki
6862	Lancero Mao
6863	Arquero Gong
6864	Espadachín Kao
6865	Espadachín Jin
6866	Lancero Ki
6867	Lancero Mao
6868	Arquero Gong
6869	Espadachín Kao
6870	Monje misterioso
6871	Monje misterioso
6875	Soldado corrompido
6876	Pendenciero corrompido
6877	Guerrero corrompido
6878	Monje corrompido
6879	General corrompido
6880	Campeador corrompido
6881	Adalid corrompido
6882	Zorro desalmado
6883	Espía congelado
6884	Guerrero congelado
6885	Cazador congelado
6886	General congelado
6887	Campeador congelado
6888	Adalid congelado
6889	Uapití maldito
6890	Irbis poseído
6891	Yeti de tramontana
6892	Espíritu de tramontana
6893	Gólem de tramontana
6894	Sasquatch
6895	Adalid de tramontana
7001	Macaco Soldado
7002	Macaco Cavaleiro
7003	Macaco Soldado Gimu
7004	Comandante Macaco
7005	Macaco Pedra
7006	Macaco Dourado
7007	General Macaco
7008	Trabalhador Tu-Gui
7009	Examinador Tu-Gui
