YES	Da
YES_1	Accepta
CANCEL	Anulare
CLOSE	Inchide
NOTICE	Aviz
PARTICIPATE	Participai
QUEST_NAME	%s
_N	%s
ENTER	Intra
ENTER_DUNGEON	Vrei sa intri in temnita?
INDIVIDUAL	Intra singur
PARTY	Intrati in grup
NO_PARTY	Nu esti intr-un grup!
ALONE	Vrei sa intri singur?
GROUP	Vrei sa intri in grup?
NO_KEY	Nu aveti cheia pentru a intra!
NO_PARTY_MEMBER	Un jucator nu este disponibil!
LOW_LEVEL	Jucatorul are nivelul prea mic:
COOLDOWN	Jucatorul trebuie sa astepte:
NO_MEMBER_KEY	Jucator nu are cheia:
BACK_DUNGEON	Du-te unde eram ...
CANT_BACK	Tocmai ai avut 5 minute sa intri din nou. Acum nu mai poti!
NO_CH	Temnita nu a fost deschisa in acest CH
NO_CH2	Pentru a intra, schimbati ch:
DUNGEON_REMOVE	Nu este disponibila , poti sa incepi din nou.
LEVEL_ERROR	Personajul tau nu are nivelul necesar pentru a intra in aceasta temnita!
BACK_QUESTION	Vrei sa intri acolo unde ai fost?
NO_MAP_LV	Nivelul tau este prea mic pentru a fi pe aceasta map! Vei fi trimis in oras.
MINUTE	minute...
1	Nu aveti misiuni de schimbat.
2	Faceti clic pe misiunea pe care doriti sa schimbati bonusul.
3	Bonus primit: %s
4	Nu poti alege acelasi bonus!
5	%s este asociat cu caracterul tau.
6	Adauga bonus 6/7
7	Rafinati Piatra de Dragon
8	Temnita de Baroneasa
9	Nu poti intra! nivelul minim este de 50 si maxim 80
10	Timp ramas
11	Secunde
12	Vrei sa incepi?
13	Intra in camera
14	Ai un cap redus?
15	Hai inapoi cand ai pasajul!
16	Catacomba Diavolului
17	Camera Dragonului
18	Invingel pe Beran-Setaou
19	Purgatorul Iadului
20	Treziti-l pe am-heh
21	Ai deschis un blocaj!
22	Nu ai invins pe toti demonii. Cauta-i!
23	Nu ati gasit echipamentul. cauta-l!
24	Nu ai invins pe Ignition.
25	Inca iti lipseste timbre de deblocat. grabiti-va!
26	Nu ati distrus Metinul Iadului.
27	Piesa este rupta!
28	Trezirea lui isfet a disparut.
29	Comanda nu este corecta
30	Turnul lui Nemere
31	Incepe temnita
32	Vrei sa pornesti temnita?
33	Cubul a disparut.
34	Turnul demon
12009	Cu acest certificat va veti reseta toate abilitatile.
12010	Reseteaza-mi abilitatile
12011	Da! sunt sigur.
12012	Nivelul dvs. trebuie sa fie de 30 sau mai mult pentru a face acest lucru.
12013	Esti sigur sa iti resetezi toate abilitatile?
35	Orase
35_1	Shinsoo map 1
35_2	Shinsoo map 2
35_3	Jinno map 1
35_4	Jinno map 2
36	Valea Seungryong (lv 30-50)
36_1	Centrul
36_2	Farm zone 1
36_3	Farm zone 2
36_4	Farm zone 3
37	Desertul Yongbi (lv 30-50)
38	Muntele Sohan (lv 40-65)
39	Tara de Foc (lv 40-65)
40	Pesterile Paianjenilor (lv 45-70)
40_1	Pestera 1 Inceput
40_2	Pestera 1 Final
40_3	Pestera 2 Inceput
40_4	Pestera 2 Final
41	Paduri (lv 65-75)
41_1	Padurea Stafiilor
41_2	Padurea Rosie
41_3	Farm zone 1
41_4	Farm zone 2
42	Grote (lv 75-95)
42_0	Trebuie sa fiti nivelul 75 pentru a intra in aceasta zona.
42_1	Grota 1 Inceput
42_2	Grota 1 Final
42_3	Grota 2 Inceput
42_4	Grota 2 Final
43	Piatra Dragonului (lv 90-105)
43_0	Trebuie sa fiti nivelul 90 pentru a intra in aceasta zona.
43_1	Peninsula Dragon Foc
43_2	Trecatoarea Nephrite
43_3	Muntii Thunder
43_4	Guatama Cliff
50	Apararea navei
51	Aparati catargul, astfel incat sa nu-l distruga!
52	Batalia va incepe curand.
53	Creati o breasla
53_0	Paznic de breasla
53_1	Esti deja intr-o breasla!
53_2	Nu puteti crea alta decat dupa 24 de ore
53_3	Vrei sa-ti creezi breasla?
