VNUM	LOCALE_NAME
10	Support Shaman
11	Support Shaman
101	Caine salbatic
102	Lup
103	Lup Alpha
104	Lup Albastru
105	Lup Alpha Albastru
106	Lup Gri
107	Lup Alpha Gri
108	Mistreþ Salbatic
109	Mistreþ Salbatic Rosu
110	Urs
111	Urs Grizzly
112	Urs Negru
113	Urs Brun
114	Tigru
115	Tigru Alb
131	Lup Blestemat
132	Lup Blestemat Alpha
133	Lup Blestemat Albastru
134	Lup Alpha Albastru Blest
135	Lup Blestemat Gri
136	Lup Blest Alpha Gri
137	Mistreþ Blestemat
138	Mistreþ Blestemat Rosu
139	Urs Blestemat
140	Urs Blestemat Grizzly
141	Urs Blestemat Negru
142	Urs Blestemat Brun
143	Tigru Blestemat
144	Tigru Blestemat Alb
151	Cung-Mok
152	Mu-Rang
153	Jug-Hyul
154	Young-Ji
155	Li-An
171	Caine salbatic flamand
172	Lup Flamand
173	Lup Flamand Alpha
174	Lup Flamand Albastru
175	Lup Flamand Alpha Albast
176	Lup Flamand Gri
177	Lup Flamand Alpha Gri
178	Mistreþ Flamand
179	Mistreþ Flamand Rosu
180	Urs Flamand
181	Urs Flamand Grizzly
182	Urs Flamand Negru
183	Urs Flamand Brun
184	Tigru Flamand
185	Tigru Flamand Alb
191	Lykos
192	Scrofa
193	Bera
194	Tigris
301	Amazoana Soldat
302	Archer Amazoana
303	Amazoana General
304	Amazoana Comandant
331	Amazoana Soldat
332	Amazoana Archer
333	Amazoana General
334	Amazoana Comandant
351	Amazoana Soldat Lasul
352	Amazoana Archer Lasul
353	Amazoana General Lasul
354	Amazoana Comandant Lasul
391	Mi-Jung
392	Eun-Jung
393	Se-Rang
394	Jin-Hee
395	Tristul de Mi-Jung
396	Tristul de Eun-Jung
397	Tristul Se-Rang
398	Tristul Jin-Hee
401	Soldat vant negru
402	Posedat de vant negru
403	Archer vant negru
404	vant negru Jak-To
405	vant negru To-Su
406	vant negru Gu-Ryung
431	Soldat de atac negru
432	Posedat de atac negru
433	Archer negru
434	Joh-Hwan de atac negru
435	Kyuk-Jan de atac negru
436	Pho-Hwan de atac negru
451	Soldat de atac negru rau
452	Posedat de atac rau
453	Archer de atac rau
454	Joh-Hwan de atac rau
455	Kyuk-Jang de atac rau
456	Pho-Hwan de atac rau
491	Mahon
492	Bo
493	Goo-Pae
494	Chuong
501	Infanterist Salbatic
502	Salbatic Devotat
503	Archer salbatic
504	General Salbatic
531	Soldat brutal
532	Posedat brutal
533	Archer brutal
534	Specialist brutal
551	Infanterist Salbatic Dur
552	Locotenent Salbatic Dur
553	Archer Salbatic Dur
554	General Salbatic Dur
591	Capitanul Bestie
595	Geum-Chul brutal
601	Ork
602	Spion ork
603	Orc Luptator
604	Orc Vrajitor
631	Orc Elite
632	Orc Elite Cerceta
633	Orc Elite Luptator
634	Orc Elite Vrajitor
635	Orc Elite General
636	Orc Negru
637	Orc Negru urias
651	Orc Mare Curajos
652	Orc Mare Cerceta
653	Orc Mare Luptator
654	Orc Mare Vrajitor
655	Orc Mare General
656	Orc Negru Curajos
657	Orc Negru Gigant
691	Orc Sef
692	Orc Elite Sef
693	Orc Sef Spirit
701	Fanatic Intunecat
702	Arahan Intunecat
703	Luptator Intunecat
704	Arahan Intunecat Super
705	Calau întunecat
706	Despot întunecat
707	Incantator Intunecat
731	Fanatic Mandru Intunecat
732	Arahan Intunecat Mandru
733	Luptator întunecat mandr
734	Colonel Intunecat Mandru
735	Puscas Malefic Mandru
736	Despot întunecat mandru
737	Vrajitor întunecat mandr
751	Fanatic înalt
752	Arahan Inalt
753	Arahan Luptator Inalt
754	Arahan Superior Inalt
755	Calau înalt
756	Despot înalt
757	Incantator înalt
766	Melc
767	Melc agresiv
768	Regina melc
771	Fanatic brutal
772	Arahan Brutal
773	Arahan Luptator Brutal
774	Arahan Superior Brutal
775	Calau brutal
776	Despot brutal
777	Incantator brutal
791	Conducator întunecat
792	Conducator Spirit Negru
793	Conducator întun. elita
794	Strigoi Intunecat
795	Luptator de elita
796	Lupt. întunec. de elita
800	Ursul turbat
801	Dino iubitor
802	Stapanul lipsei de iubire
803	Bestie sfasietoare
804	Mutant al iubirii
805	Harpie dispretuita
899	Magazin de costume
900	Cosmetics Maker
901	Spiritul Cadavrului
902	Caine al ciumei
903	Om al ciumei
904	Luptator sabie al ciumei
905	Luptator suliþa al ciume
906	Archer al ciumei
907	Comandant al ciumei
931	Spirit Cadavru Furios
932	Caine al ciumei salbatic
933	Om al ciumei salbatic
934	Luptator al ciumei salb.
935	Lupt. suliþa al cium. s.
936	Archer al ciumei salbatic
937	Com. al ciumei furios
991	Ou al ciumei
992	Purtator de ciuma
993	Purtator de ciuma urias
1001	Soldat Demon
1002	Archer Demon
1003	Demon Lancer
1004	Demon Saman
1031	Soldat comun
1032	Archer comun
1033	Luptator Suliþa Comun
1034	Saman comun
1035	Spiritul maniei
1036	Spiritul haosului
1037	Demon comandant comun
1038	Maestru craniu sabie
1039	Craniu zburator
1040	Spirit nemuritor
1041	Animal demonic
1061	Spirit soldat comun
1062	Spirit Archer comun
1063	Spirit luptator comun
1064	Spirit Saman Comun
1065	Spirit al maniei comun
1066	Spirit al haosului comun
1067	Spirit comandant comun
1068	Samurai Fantoma
1069	Craniu zburator comun
1070	Spirit nemuritor
1071	Animal demonic
1091	Demon rege
1092	Demon rege mandru
1093	Ingerul cu Coasa
1094	Demon rege comun
1095	Moarte albastra
1096	Áø»ç±Í¿Õ
1101	Gheaþa Fermecata
1102	Balena Ucigasa de Gheaþa
1103	Insecta de Gheaþa
1104	Leu de gheaþa
1105	Om Ingheþat
1106	Yeti
1107	Golem de Gheaþa
1131	Aschii Gheata Lumea Jos
1132	Balena ucigasa gheaþa
1133	Insecta Inghetata
1134	Leu Gheaþa Lumea Jos
1135	Omul gheþii lumii de jos
1136	Yeti Salbatic
1137	Golem de Gheaþa Subteran
1151	Diavol de Gheaþa
1152	Balena Corn de Gheaþa
1153	Insecta de Gheaþa
1154	Seol-Gu
1155	Omul Ghetii
1156	Gigant de Gheaþa
1157	Golem de Gheaþa
1171	Gheaþa fermecata rea
1172	Balena cu corn d gh. rea
1173	Insecta de Gheaþa Rea
1174	Leu de gheaþa rau
1175	Om Rau de Gheaþa
1176	Yeti rau
1177	Golem de Gheaþa Puternic
1191	Vrajitoare de gheaþa
1192	Vrajitoare Rea de Gheaþa
1301	Soldat Brotac
1302	General Brotac
1303	Capcaun
1304	Fantoma Tigrului Galben
1305	General Broasca Taur
1306	Naluca Tigrului Galben
1307	Naluca Tigrului Galben
1308	Naluca Tigrului Galben
1309	Naluca Tigrului Galben
1310	Naluca Tigrului Galben
1331	Soldat Brotac Mare
1332	Liderul General Brotac
1333	Capcaun mare
1334	Duhul Tigrului Galben
1335	Gen. broasca-bou mare
1401	Distrugator
1402	Luptator cu securea
1403	Miria-Luptator
1501	Golem de Piatra
1502	Spargator de Piatra
1503	Golem de Stanca
1601	Capcaun razboinic
1602	Capcaun Macelar
1603	Berserker capcaun
1901	Noua Cozi
1902	Noua Cozi de Elita
1903	Noua Cozi de Elita
1904	Noua Cozi de Elita
1905	Noua Cozi de Elita
1906	Noua Cozi de Elita
2001	Pui de Paianjen
2002	Paianjen Otravitor
2003	Paianjen Otravitor Rosu
2004	Paianjen Gheara
2005	Paianjen Soldat
2031	Pui de Paianjen Otravit
2032	Paianjen Toxic Mortal
2033	Paianj Otravit Mort Rosu
2034	Paianjen Gheara Toxica
2035	Paianjen Soldat Toxic
2036	Paianjen Soldat Mandru
2051	Pui Paianjen Toxic Rau
2052	Paianjen Otravitor Rau
2053	Paianjen Rosu Toxic Rau
2054	Paianjen Gheara Tox Rau
2055	Paianjen Soldat Tox Rau
2061	Paianjen Otravitor Mic
2062	Paianjen Toxic Mortal
2063	Paianjen Toxic Rosu
2064	Paianjen Gheara Toxica
2065	Paianjen Soldat Toxic
2071	Paianjen Pui Mortal
2072	Pai. otr. mort. brutal
2073	Pai. otr. Rosu brutal
2074	Pai. otr. cu gheara brut
2075	Paianjen Soldat Mortal
2076	Paianjen Bestial Otravit
2091	Regina Paianjen
2092	Baroneasa Paianjen
2093	Vaduva Neagra
2094	Baron Paianjen
2095	Ou de Paianjen
2101	Vulpe de Desert
2102	Ochi Zburator Desert
2103	Scorpion Regal
2104	Om Scorpion Mic
2105	Archer Scorpion
2106	Sarpe Spadasin
2107	Archer Sarpe
2108	Talhar de Desert
2131	Om Scorpion
2132	Archer Scorpion
2133	Luptator sabie sarpe
2134	Archer Sarpe
2135	Talhar de Desert
2151	Vulpe Salbatica de Deser
2152	Calugar Puternic
2153	Scorpion Regal Dur
2154	Om Scorpion Dur
2155	Archer Dur Scorpion
2156	Sarpe Spadasin Dur
2157	Archer Dur Sarpe
2158	Beduin Puternic
2191	Testoasa Gigant
2192	Þestoasa de desert neagr
2201	Tigru Luptator Dur
2202	Spiritul Focului
2203	Tigru Luptator
2204	Flacara
2205	Luptator de Foc
2206	Regele Focului
2207	Regele negru al focului
2231	Tigru Luptator Puternic
2232	Spirit Flacara Dura
2233	Tigru Razboinic Dur
2234	Foc Dur
2235	Razboinic Foc Dur
2291	Dragon Rosu
2301	Copac Fantoma
2302	Buturuga Fantoma
2303	Driada
2304	Salcia Fantoma
2305	Copac Rau
2306	Copac Fantoma urias
2307	Copac Fantoma Nobil
2311	Copac Rosu Fantoma
2312	Buturuga Fantoma Rosie
2313	Driada Rosie
2314	Salcia Fantoma Rosie
2315	Copac Rau Rosu
2401	Setaou Luptator
2402	Vanator Setaou
2403	Setaou Mistic
2404	Conducator Setaou
2411	Soldat Setaou
2412	Archer Setaou
2413	Judecator Setaou
2414	Comandant Setaou
2415	Comandant Setaou
2431	Setaou Luptator
2432	Vanator Setaou
2433	Setaou Mistic
2434	Conducator Setaou
2451	Soldat Setaou
2452	Archer Setaou
2453	Judecator Setaou
2454	Comandant Setaou
2491	Capitanul Yonghan
2492	Generalul Yonghan
2493	Beran-Setaou
2494	Capitanul Huashin
2495	Generalul Huashin
2501	Meduzele Iadului
2502	Cainele Iadului
2503	Zombie
2504	Ofiþerul Iadului
2505	Gardianul Iadului
2506	Archerul Iadului 2 Capete
2507	Gheare Diabolice
2508	Luptatorul Iadului
2509	Archerul Iadului
2510	Suliþasul Iadului
2511	Parintele Iadului
2512	Maiorul Iadului
2513	Macelarul Iadului
2514	Generalul Iadului
2541	Luptator Satanic
2542	Archer Satanic
2543	Lancer Satanic
2544	Parinte Satanic
2545	Maior Satanic
2546	Macelar Satanic
2547	General Satanic
2591	Tartaros
2592	Ucigasul Iadului
2593	Ucigasul Iadului
2594	Ucigasul Iadului
2595	Erebos
2596	Creatura lui Azrael
2597	Charon
2598	Azrael
3001	Gnoll Razboinic
3002	Archer Gnoll
3003	Gnoll Aparator
3004	Gnoll Magician
3005	Gnoll General
3090	Gnoll Lord
3091	Gnoll Suprem
3101	Capcaun cu Un Ochi
3102	Ciclop Soldat
3103	Ciclop Magician
3104	Ciclopi Calau
3105	Generalul Outis
3190	Arges
3191	Polyphemos
3201	Manticore Razboinic
3202	Manticore Soldat
3203	Manticore Mag
3204	Manticore Calau
3205	Generalul Cor
3290	Rakshasa
3291	Martyaxwar
3301	Lemures Razbonic
3302	Lemures Soldat
3303	Lemures Magician
3304	Lemures Calau
3305	Lemures General
3390	Lemures Print
3391	Lemures Bodyguard
3401	Tritonic Moray
3402	Rechin Soldat
3403	Tritonic Magician
3404	Tritonic Vanator
3405	Tritonic Macelar
3490	General Kappa
3491	Triton
3501	Talhar Rosu Amazon
3502	Talhar Rosu Asasin
3503	Talhar Rosu Magician
3504	Talhar Rosu Calau
3505	General Negru
3551	Talhar Brutal Amazon
3552	Talhar Brutal Asasin
3553	Talhar Brutal Magician
3554	Talhar Brutal Calau
3555	General Alb
3590	Craniu
3591	Conducator Rosu
3595	Craniu Brutal
3596	Conducator Rosu Brutal
3601	Crab Razboinic
3602	Tragator Scorpion
3603	Crevete Soldat
3604	Pustnic Diabolic
3605	Crab Blindat
3690	Homar General
3691	Regele Crab
3701	Gigant Escroc
3702	Gigant Macelar
3703	Gigant Mag
3704	Colos
3705	Capitanul Carlig
3790	Gargoyle
3791	Regele Wubba
3801	Hangork
3802	Archer Ork
3803	Orc Galagios
3804	Orc Mag
3805	Generalul Ogg
3890	Capitanul Shruk
3891	Marele Orc
3901	Copac Monstru
3902	Eoten
3903	Skouman
3904	Capitanul Carlig
3905	Mu-Shu
3906	Yah-Ki
3907	Moghu
3908	Carnifex
3909	General Albus
3910	Skeletos
3911	Aku-Boku
3912	Arboretum
3913	Sycomore
4023	Schimba Nivel
4024	Capul Sarpelui
4025	Capul Sarpelui
4026	Capul Sarpelui
4027	Capul Sarpelui
4028	Soldat sobolan puternic
4029	Soldat Saman
4030	Ou Dragon Alb
4031	Templul Enigma
4032	Paraseste Templul Enigma
4033	Templul Enigma (constr.)
4034	Templul Enigma (repeta)
4036	Ochiul raului
4037	Devoratorul de suflete
4038	Capcaun de cosmar
4039	Ciclop blestemat
4040	Suflet îndurerat
4041	Chimera profana
4042	Cosmar infamant
4043	Sebastian Mancatorul de vise
4062	Carte blestemata
4063	Golden Zombie
4064	Golemul cu bijuterii
4065	Cufarul cu capcane
4066	Gardianul de monede
4067	Sfinxul de aur
4068	Monticul viu
4069	Meduza
4070	Smaug Dezolatorul
4090	Larva de pamant
4091	Golem de cristal
4092	Suflet pierdut
4093	Minotaurul magic
4094	Capetenia magica a orcilor
4095	Bestie magica
4035	Portal Enigma
4104	Gardian Judecaþii Mao
4105	Gardian Judecaþii Chen
4106	Gardian Judecaþii Si
4107	Gardian Judecaþii Wu
4108	Gardian Judecaþii Wei
4109	Gardian Judecaþii Shen
4110	Gardian Judecaþii You
4111	Gardian Judecaþii Xu
4113	Poison Beetle
4114	Stony Dragon
4115	Lizard Scout
4116	Lizard Fighter
4117	Lizard Warrior
4118	Great lizard warrior
4119	Andur Warrior
4120	Andur Shaman
4112	Gardian Judecaþii Hai
4121	Gardian Judecaþii Zi
4122	Gardian Judecaþii Chou
4123	Gardian Judecaþii Yin
4124	Gardian Judecaþii Mao
4125	Gardian Judecaþii Chen
4126	Gardian Judecaþii Si
4127	Gardian Judecaþii Wu
4128	Gardian Judecaþii Wei
4129	Gardian Judecaþii Shen
4130	Gardian Judecaþii You
4131	Gardian Judecaþii Xu
4133	Faraon
4134	Servitor al lui Osiris
4135	Servitor al lui Anubis
4136	Aberatia desertului
4137	Liderul stramosilor Naga
4138	Anubis
4140	Gardianul dunei
4132	Gardian Judecaþii Hai
5001	Pirat Tanaka
5002	Hae-Tae
5003	Maimuta
5004	Pirat Tanaka
5101	Gibon Soldat
5102	Gibon Grenadier
5103	Gibon Luptator
5104	Gibon General
5111	Maimuta Soldat
5112	Maimuta Grenadier
5113	Maimuþa Luptator
5114	Maimuta General
5115	Maimuta de Piatra
5116	Maimuta Conducator
5121	Gorila Soldat
5122	Gorila Grenadier
5123	Gorila Luptator
5124	Gorila General
5125	Gorila de Piatra
5126	Gorila de Aur
5127	Gorila Conducator
5131	Soldat maim. intel. mic
5132	Arunc. maim. intel. mic
5133	Lupt. maim. intel. mic
5134	Gen. maim. inteligent mi
5141	Urangutan Soldat
5142	Aruncator maim. viclean
5143	Luptator maim. viclean
5144	Gen. maim. viclean
5145	Maim. de piatra vicleana
5146	Conducator maim. viclean
5151	Gorila Soldat Malefica
5152	Gorila Grenadier Malefic
5153	Luptator maim. rau
5154	Gorila General Malefica
5155	Gorila de Piatra Malefic
5156	Gorila de Aur Malefica
5157	Conducator maim. rau
5161	Maimuta de Piatra
5162	Maimuta Umblatoare
5163	Maimuta Lord
5201	Caine Salbatic
5202	Mistreþ Salbatic
5203	Mistreþ Salbatic Rosu
5204	Urs
5205	Urs Brun
5206	Urs Negru
5207	Urs Brun Flamand
5208	Tigru
5209	Tigru Alb
6001	Cenusa Spiritul Focului
6002	Cenusa Tigru de Foc
6003	Cenusa Flacara
6004	Cenusa Luptator de Foc
6005	Cenusa Rege de Foc
6006	Cenusa Troll de Foc
6007	Cenusa Barba de Foc
6008	Cenusa General de Foc
6009	Cenusa Capetenie de Foc
6051	Ignitor
6091	Razador
6101	Cristal de Gheaþa
6102	Insecta de Gheaþa
6103	Om de Gheaþa
6104	Yeti de Gheaþa
6105	Golem de Gheaþa
6106	Troll de Gheaþa
6107	Barba de Gheaþa
6108	General de Gheaþa
6109	Lord de Gheaþa
6110	Yeti Magma
6111	Golem Magma
6112	Insecta Magma
6113	Omul Magma
6114	Cristal Magma
6115	Wyvern Magma
6116	Garda Dragon Idall
6117	Minion Idall
6118	Statuie Dragon
6151	Szel
6191	Nemere
6192	Jotun Thrym
6193	Meley Regina Dragon
6201	Yeti Magma
6202	Golem Magma
6203	Insecta Magma
6204	Om Magma
6205	Cristal Magma
6206	Wyvern Magma
6207	Garda Dragon Idall
6209	Statuie Dragon
6220	Magicianul de gheata
6221	Stapanul ghetii
6222	Magma Yeti
6223	Golem de lava
6224	Gandacul de magma
6225	Magma Golem
6226	Cristal de foc
6227	Magma Dragonfly
6228	Gardianul flacarii
6229	Dragon Executioner
6230	Statuia dragonului
6231	Meley Dragon Queen
6301	Razboinic Ochao
6302	Soldat Ochao
6303	Magician Ochao
6304	Calau Ochao
6305	General Ochao
6306	Luptator Puternic Ochao
6307	Soldat Puternic Ochao
6308	Magician Puternic Ochao
6309	Executor Puternic Ochao
6310	General Puternic Ochao
6311	Ochao Bodyguard
6390	Ochao Lord
6391	Lord Ochao
6392	Garda Ochao
6393	Lord Puternic Ochao
6394	Gardian Puternic Ochao
6400	Gardianul En-Tai
6401	Razboinic En-Tai
6402	Soldat En-Tai
6403	Druid En-Tai
6404	Vindecator En-Tai
6405	Gardian En-Tai
6406	Distrugator En-Tai
6407	Suveran En-Tai
6408	Bagjanamu
6409	Vindecator Ochao
6410	Luptator Puternic En-Tai
6411	Soldat Puternic En-Tai
6412	Druid Puternic En-Tai
6413	Vraci Puternic En-Tai
6414	Asasin Puternic En-Tai
6415	Eveniment Beran-Setaou
6416	Eveniment Nemere
6417	Eveniment Razador
6418	Eveniment Jotun Thrym
6419	Eveniment Dragonul Rosu
6420	Spirit Razboinic
6421	Baashido+
6422	Metinul Vanitaþii
6500	Rege Dragon Akzadur
6501	Rege Dragon Nafaroth
6502	Rege Dragon Exedyar
6503	Rege Dragon Ruilith
6504	Tyolduran
6513	Portal Dragon
6514	La Regele Dragon
6515	Iesire
6601	Dragon albastru infernal
6602	Infernal Azrael
6603	Infernal Duratus
6604	Infernal Slug Queen
6605	Infernal Nemere
6606	Infernal Razor
6607	Beast Mag. Infernal
6608	Jaldabaoth
6609	Jaldabaoth Infernal
6686	Jin Bing
6687	Soldat Ki
6688	Soldat Mao
6689	Soldat Gong
6690	Primul Mag
6691	Kao
6692	King Bao (Misiune)
6693	Jin Bing
6694	Soldat Ki
6695	Soldat Mao
6696	Soldat Gong
6697	Primul Mag
6698	Kao
6699	Regele Bao
6700	Cainele Iadului
6701	Soldat Trol
6702	Razboinic Trol
6703	Archer Trol
6704	Saman Trol
6705	Natanan
6706	Argos
6707	Soldat Trol
6708	Razboinic Trol
6709	Archer Trol
6710	Fantoma Chinuita
6711	Cainele Iadului
6712	Soldat Trol
6713	Razboinic Trol
6714	Archer Trol
6715	Saman Trol
6716	Natanan
6717	Argos
6718	Quag Kovix
6719	Muncitor Quag
6720	Golem Quag
6721	Razboinic Quag
6722	Vrajitor Quag
6723	Veteran Quag
6724	Quag Primus
6725	Quag Kovix
6726	Muncitor Quag
6727	Golem Quag
6728	Razboinic Quag
6729	Vrajitor Quag
6730	Veteran Quag
6731	Quag Primus
6744	Soldat Kappa
6745	Muncitor Kappa
6746	Soldat Kappa
6747	Vrajitor Kappa
6748	Vanator Kappa
6749	Puternicul Kappa
6750	Scorpion Sarpe
6751	Muncitor Sarpe
6752	Kappa Sarpe
6753	Soldat Sarpe
6754	Pustnic Sarpe
6755	Razboinic Puternic Sarpe
6756	Regina Sarpe Nethis
6757	Stalp Sarpe
6758	Soldat Corupt
6759	Luptator Corupt
6760	Razboinic Corupt
6761	Calugar Corupt
6762	General Corupt
6763	Serif Corupt
6764	Capitan Corupt
6765	Razboinic Puternic Sarpe
6770	Vulpe Ingheþata
6771	Cerceta Ingheþat
6772	Razboinic Ingheþat
6773	Vanator Ingheþat
6774	General Ingheþat
6775	Capetenie Ingheþata
6776	Capetenie Ingheþata Rar
6777	Cerb Ingheþat
6778	Leopard Ingheþat
6779	Yeti Nord
6780	Fantoma Nord
6781	Golem Nord
6782	Bigfoot
6783	Capetenie Nord
6784	Soldat Adapost Nord
6785	Luptator Adapost
6786	Razboinic Adapost Nord
6787	Vrajitor Adapost Nord
6788	General Adapost Nord
6789	Capetenie Adapost Nord
6790	Alastor
6791	Alastor
6792	Soldat Adapost Nord
6793	Luptator Adapost
6794	Razboinic Adapost Nord
6795	Vrajitor Adapost Nord
6796	General Adapost Nord
6797	Capetenie Adapost Nord
6800	Gnoll Razboinic
6801	Cerceta Gnoll
6802	Vrajitor Gnoll
6803	Serif Gnoll
6804	Maestru Gnoll
6805	Capitan Gnoll
6806	Soldat Gnoll
6807	Spion Gnoll
6808	Gnoll Magician
6809	Comandant Gnoll
6810	Razboinic Ahtrin
6811	Cerceta Ahtrin
6812	Vrajitor Ahtrin
6813	Comandant Ahtrin
6814	Capitan Ahtrin
6815	Capitan Ahtrin
6816	Spion Ahtrin
6817	Mag Ahtrin
6818	Comandant Ahtrin
6819	Maestru Ahtrin
6820	Mare Maestru Ahtrin
6850	Scorpion Sarpe
6851	Muncitor Sarpe
6852	Kappa Sarpe
6853	Soldat Sarpe
6854	Calau Sarpe
6855	Razboinic Puternic Sarpe
6856	Regina Sarpe Nethis
6860	Luptator cu Sabia Jin
6861	Lancier Ki
6862	Lancier Mao
6863	Archer Gong
6864	Luptator cu Sabia Kao
6865	Luptator cu Sabia Jin
6866	Lancier Ki
6867	Lancier Mao
6868	Archer Gong
6869	Luptator cu Sabia Kao
6870	Calugar Misterios
6871	Calugar Misterios
6875	Soldat Corupt
6876	Luptator Corupt
6877	Razboinic Corupt
6878	Calugar Corupt
6879	General Corupt
6880	Serif Corupt
6881	Capitan Corupt
6882	Vulpe Neînsufleþita
6883	Cerceta Ingheþat
6884	Razboinic Ingheþat
6885	Vanator Ingheþat
6886	General Ingheþat
6887	Capetenie Ingheþata
6888	Capetenie Ingheþata Rar
6889	Cerb Blestemat
6890	Leopard Ingheþat
6891	Yeti Nord
6892	Fantoma Nord
6893	Golem Nord
6894	Bigfoot
6895	Capetenie Nord
7001	Maimuta Soldat
7002	Maimuta Jocheu
7003	Maimuta Soldat Gimu
7004	Maimuta Comandant
7005	Maimuta de Piatra
